48        50.280515
144        323.876982
240        293.924418
336        339.857780
432        362.961568
528        349.312760
624        653.586076
720        367.744700
816        350.259741
912        343.570475
1008        351.434894
1104        350.729001
1200        347.355849
1296        348.005989
1392        350.925497
1488        356.071173
1584        347.028313
1680        354.094143
1776        609.182600
1872        610.277659
1968        594.697805
2064        624.242070
2160        628.032645
2256        627.022183
2352        611.208194
2448        628.287464
2544        637.005506
2640        634.412732
2736        614.478933
2832        630.389376
2928        634.441946
3024        638.299791
3120        620.992343
3216        635.419438
3312        638.766452
3408        641.276225
3504        624.869117
3600        636.005640
3696        636.063815
3792        638.806391
3888        620.933354
3984        636.792911
4080        641.560324
